GC_Content	AT_Content	Sequence_Length	Num_A	Num_T	Num_C	Num_G	kmer_3_freq	Mutation_Flag	Class_Label	Disease_Risk	GC_AT_Sum	Risk_Level_Num
42.0	58.0	100	33	25	23	19	0.145	1	Bacteria	High	100.0	3
58.0	42.0	100	17	25	28	30	0.12	0	Plant	High	100.0	3
48.0	52.0	100	28	24	28	20	0.228	1	Virus	Low	100.0	1
54.0	46.0	100	27	19	29	25	0.611	1	Virus	Low	100.0	1
44.0	56.0	100	22	34	20	24	0.316	0	Bacteria	Low	100.0	1
54.0	46.0	100	25	21	27	27	0.781	1	Bacteria	High	100.0	3
58.0	42.0	100	23	19	26	32	0.963	0	Virus	High	100.0	3
45.0	55.0	100	26	29	18	27	0.317	1	Virus	Low	100.0	1
48.0	52.0	100	26	26	27	21	0.771	0	Bacteria	High	100.0	3
52.0	48.0	100	30	18	28	24	0.858	1	Virus	High	100.0	3
47.0	53.0	100	31	22	24	23	0.97	1	Plant	Medium	100.0	2
52.0	48.0	100	28	20	27	25	0.362	0	Virus	Medium	100.0	2
53.0	47.0	100	24	23	23	30	0.602	0	Human	High	100.0	3
52.0	48.0	100	20	28	29	23	0.995	0	Human	Medium	100.0	2
50.0	50.0	100	24	26	23	27	0.348	0	Bacteria	Low	100.0	1
53.0	47.0	100	23	24	30	23	0.447	1	Human	Medium	100.0	2
50.0	50.0	100	29	21	25	25	0.956	1	Virus	Low	100.0	1
44.0	56.0	100	28	28	19	25	0.534	0	Human	Low	100.0	1
58.0	42.0	100	17	25	31	27	0.373	1	Bacteria	Low	100.0	1
50.0	50.0	100	21	29	26	24	0.962	0	Virus	High	100.0	3
60.0	40.0	100	20	20	35	25	0.344	0	Plant	Medium	100.0	2
45.0	55.0	100	32	23	22	23	0.924	0	Plant	High	100.0	3
49.0	51.0	100	28	23	25	24	0.999	1	Human	Medium	100.0	2
49.0	51.0	100	25	26	26	23	0.622	1	Bacteria	High	100.0	3
42.0	58.0	100	34	24	27	15	0.314	1	Virus	Medium	100.0	2
49.0	51.0	100	23	28	28	21	0.18	0	Bacteria	Medium	100.0	2
46.0	54.0	100	24	30	24	22	0.478	1	Virus	High	100.0	3
49.0	51.0	100	26	25	24	25	0.109	0	Human	High	100.0	3
51.0	49.0	100	27	22	27	24	0.923	0	Plant	Medium	100.0	2
55.0	45.0	100	18	27	23	32	0.796	0	Virus	High	100.0	3
58.0	42.0	100	18	24	22	36	0.433	1	Plant	Low	100.0	1
51.0	49.0	100	28	21	26	25	0.438	0	Plant	High	100.0	3
42.0	58.0	100	32	26	17	25	0.814	0	Virus	Low	100.0	1
44.0	56.0	100	28	28	19	25	0.125	1	Plant	High	100.0	3
45.0	55.0	100	35	20	31	14	0.482	0	Virus	Low	100.0	1
46.0	54.0	100	22	32	21	25	0.699	0	Bacteria	High	100.0	3
49.0	51.0	100	26	25	29	20	0.951	1	Virus	Medium	100.0	2
40.0	60.0	100	26	34	18	22	0.939	0	Plant	Medium	100.0	2
50.0	50.0	100	25	25	29	21	0.279	1	Plant	Medium	100.0	2
52.0	48.0	100	25	23	33	19	0.638	1	Human	Low	100.0	1
52.0	48.0	100	26	22	23	29	0.587	1	Bacteria	High	100.0	3
59.0	41.0	100	19	22	35	24	0.21	1	Virus	Low	100.0	1
47.0	53.0	100	25	28	23	24	0.969	0	Plant	High	100.0	3
49.0	51.0	100	27	24	27	22	0.636	1	Bacteria	Low	100.0	1
55.0	45.0	100	25	20	23	32	0.528	1	Bacteria	High	100.0	3
47.0	53.0	100	23	30	20	27	0.202	0	Human	Medium	100.0	2
55.0	45.0	100	18	27	28	27	0.333	1	Bacteria	Medium	100.0	2
53.0	47.0	100	24	23	30	23	0.487	0	Human	Low	100.0	1
37.0	63.0	100	30	33	20	17	0.473	0	Virus	High	100.0	3
55.0	45.0	100	27	18	34	21	0.819	1	Virus	Low	100.0	1
46.0	54.0	100	30	24	22	24	0.4	1	Virus	Low	100.0	1
48.0	52.0	100	26	26	25	23	0.817	1	Plant	High	100.0	3
47.0	53.0	100	25	28	20	27	0.198	0	Plant	Low	100.0	1
45.0	55.0	100	32	23	23	22	0.81	0	Bacteria	Low	100.0	1
46.0	54.0	100	23	31	27	19	0.248	1	Virus	Low	100.0	1
55.0	45.0	100	21	24	31	24	0.638	1	Human	Low	100.0	1
52.0	48.0	100	25	23	23	29	0.561	1	Human	Low	100.0	1
44.0	56.0	100	26	30	22	22	0.664	0	Human	Low	100.0	1
48.0	52.0	100	21	31	27	21	0.185	1	Bacteria	Low	100.0	1
47.0	53.0	100	28	25	21	26	0.302	1	Bacteria	Low	100.0	1
50.0	50.0	100	26	24	26	24	0.338	1	Plant	Medium	100.0	2
44.0	56.0	100	29	27	21	23	0.88	0	Bacteria	High	100.0	3
55.0	45.0	100	20	25	24	31	0.755	1	Plant	High	100.0	3
53.0	47.0	100	19	28	34	19	0.233	0	Plant	High	100.0	3
53.0	47.0	100	21	26	25	28	0.828	0	Bacteria	High	100.0	3
66.0	34.0	100	19	15	27	39	0.605	1	Plant	High	100.0	3
50.0	50.0	100	28	22	26	24	0.831	1	Plant	Low	100.0	1
45.0	55.0	100	32	23	25	20	0.245	0	Plant	Medium	100.0	2
57.0	43.0	100	24	19	24	33	0.941	1	Virus	Low	100.0	1
51.0	49.0	100	26	23	22	29	0.643	1	Bacteria	High	100.0	3
51.0	49.0	100	27	22	22	29	0.594	1	Bacteria	Low	100.0	1
56.0	44.0	100	19	25	25	31	0.916	1	Human	High	100.0	3
45.0	55.0	100	27	28	15	30	0.6	1	Virus	Low	100.0	1
44.0	56.0	100	29	27	15	29	0.136	0	Human	Medium	100.0	2
55.0	45.0	100	27	18	29	26	1.0	0	Virus	High	100.0	3
50.0	50.0	100	27	23	25	25	0.411	1	Virus	Low	100.0	1
46.0	54.0	100	25	29	24	22	0.596	0	Plant	Medium	100.0	2
54.0	46.0	100	24	22	27	27	0.749	0	Bacteria	High	100.0	3
60.0	40.0	100	20	20	30	30	0.898	1	Bacteria	Medium	100.0	2
54.0	46.0	100	23	23	30	24	0.209	1	Virus	Low	100.0	1
48.0	52.0	100	31	21	21	27	0.898	1	Bacteria	Medium	100.0	2
60.0	40.0	100	20	20	32	28	0.944	0	Plant	High	100.0	3
53.0	47.0	100	27	20	22	31	0.675	1	Bacteria	High	100.0	3
55.0	45.0	100	25	20	33	22	0.571	0	Bacteria	Medium	100.0	2
52.0	48.0	100	24	24	27	25	0.635	0	Virus	High	100.0	3
43.0	57.0	100	26	31	19	24	0.918	1	Plant	Low	100.0	1
47.0	53.0	100	23	30	23	24	0.734	1	Human	High	100.0	3
47.0	53.0	100	26	27	27	20	0.942	1	Bacteria	Medium	100.0	2
50.0	50.0	100	25	25	22	28	0.289	1	Plant	Medium	100.0	2
43.0	57.0	100	34	23	21	22	0.722	1	Virus	Low	100.0	1
54.0	46.0	100	30	16	29	25	0.247	1	Bacteria	Medium	100.0	2
58.0	42.0	100	18	24	24	34	0.17	0	Plant	Medium	100.0	2
51.0	49.0	100	20	29	23	28	0.582	0	Virus	High	100.0	3
48.0	52.0	100	24	28	27	21	0.237	0	Human	Medium	100.0	2
56.0	44.0	100	21	23	26	30	0.962	1	Human	Low	100.0	1
46.0	54.0	100	35	19	28	18	0.709	1	Human	Low	100.0	1
54.0	46.0	100	30	16	28	26	0.572	0	Virus	Medium	100.0	2
53.0	47.0	100	24	23	28	25	0.604	1	Plant	Low	100.0	1
46.0	54.0	100	24	30	28	18	0.885	0	Plant	Low	100.0	1
42.0	58.0	100	27	31	21	21	0.463	0	Virus	High	100.0	3
55.0	45.0	100	24	21	26	29	0.243	1	Plant	Low	100.0	1
38.0	62.0	100	33	29	18	20	0.631	0	Plant	Low	100.0	1
55.0	45.0	100	26	19	33	22	0.107	1	Human	High	100.0	3
51.0	49.0	100	24	25	25	26	0.164	0	Plant	High	100.0	3
43.0	57.0	100	31	26	19	24	0.349	1	Virus	Low	100.0	1
47.0	53.0	100	28	25	26	21	0.316	1	Virus	High	100.0	3
44.0	56.0	100	32	24	27	17	0.906	0	Bacteria	High	100.0	3
44.0	56.0	100	28	28	26	18	0.415	1	Virus	Medium	100.0	2
47.0	53.0	100	26	27	17	30	0.819	1	Human	Low	100.0	1
51.0	49.0	100	22	27	30	21	0.925	0	Bacteria	Low	100.0	1
56.0	44.0	100	20	24	31	25	0.373	1	Bacteria	Low	100.0	1
51.0	49.0	100	21	28	24	27	0.546	0	Virus	Medium	100.0	2
52.0	48.0	100	25	23	19	33	0.699	0	Human	Low	100.0	1
54.0	46.0	100	24	22	28	26	0.459	0	Bacteria	High	100.0	3
49.0	51.0	100	27	24	17	32	0.28	0	Human	Low	100.0	1
46.0	54.0	100	21	33	20	26	0.591	0	Virus	Low	100.0	1
51.0	49.0	100	26	23	24	27	0.193	0	Human	High	100.0	3
55.0	45.0	100	22	23	28	27	0.603	0	Plant	Medium	100.0	2
51.0	49.0	100	24	25	28	23	0.251	0	Bacteria	Medium	100.0	2
54.0	46.0	100	18	28	23	31	0.18	0	Plant	Low	100.0	1
47.0	53.0	100	34	19	22	25	0.139	0	Bacteria	High	100.0	3
44.0	56.0	100	29	27	21	23	0.183	0	Plant	High	100.0	3
44.0	56.0	100	32	24	21	23	0.926	1	Plant	Low	100.0	1
51.0	49.0	100	22	27	30	21	0.734	1	Bacteria	Low	100.0	1
51.0	49.0	100	25	24	25	26	0.869	0	Human	High	100.0	3
44.0	56.0	100	27	29	28	16	0.207	1	Human	High	100.0	3
49.0	51.0	100	23	28	26	23	0.29	0	Human	Medium	100.0	2
57.0	43.0	100	25	18	25	32	0.226	1	Bacteria	Low	100.0	1
63.0	37.0	100	19	18	28	35	0.155	0	Human	Medium	100.0	2
54.0	46.0	100	20	26	28	26	0.338	1	Human	Low	100.0	1
62.0	38.0	100	17	21	32	30	0.897	0	Bacteria	Medium	100.0	2
50.0	50.0	100	20	30	25	25	0.376	1	Bacteria	Medium	100.0	2
51.0	49.0	100	25	24	27	24	0.731	0	Virus	Medium	100.0	2
49.0	51.0	100	25	26	25	24	0.101	0	Plant	Low	100.0	1
55.0	45.0	100	19	26	30	25	0.23	1	Virus	Medium	100.0	2
52.0	48.0	100	24	24	27	25	0.322	0	Human	Medium	100.0	2
45.0	55.0	100	29	26	26	19	0.774	0	Bacteria	Medium	100.0	2
41.0	59.0	100	17	42	20	21	0.384	1	Plant	Medium	100.0	2
51.0	49.0	100	26	23	22	29	0.514	1	Human	Medium	100.0	2
45.0	55.0	100	20	35	22	23	0.526	1	Human	Low	100.0	1
56.0	44.0	100	20	24	27	29	0.35	1	Bacteria	High	100.0	3
50.0	50.0	100	28	22	30	20	0.487	0	Virus	Medium	100.0	2
52.0	48.0	100	24	24	24	28	0.367	1	Plant	High	100.0	3
54.0	46.0	100	22	24	20	34	0.843	0	Virus	Low	100.0	1
44.0	56.0	100	16	40	25	19	0.752	0	Human	High	100.0	3
48.0	52.0	100	24	28	26	22	0.96	1	Virus	Medium	100.0	2
50.0	50.0	100	27	23	22	28	0.895	0	Human	High	100.0	3
48.0	52.0	100	26	26	21	27	0.865	0	Plant	Low	100.0	1
50.0	50.0	100	28	22	31	19	0.907	0	Plant	Low	100.0	1
59.0	41.0	100	19	22	31	28	0.85	1	Plant	Medium	100.0	2
52.0	48.0	100	24	24	31	21	0.766	1	Virus	High	100.0	3
42.0	58.0	100	35	23	24	18	0.96	0	Plant	Low	100.0	1
58.0	42.0	100	25	17	30	28	0.446	1	Human	Low	100.0	1
54.0	46.0	100	26	20	27	27	0.699	0	Plant	Low	100.0	1
57.0	43.0	100	16	27	28	29	0.437	1	Bacteria	High	100.0	3
54.0	46.0	100	18	28	22	32	0.539	1	Bacteria	Medium	100.0	2
53.0	47.0	100	17	30	20	33	0.573	1	Human	Medium	100.0	2
38.0	62.0	100	31	31	17	21	0.527	0	Virus	Low	100.0	1
47.0	53.0	100	24	29	20	27	0.439	0	Bacteria	Low	100.0	1
57.0	43.0	100	27	16	24	33	0.113	1	Virus	Low	100.0	1
43.0	57.0	100	34	23	17	26	0.966	1	Human	Medium	100.0	2
37.0	63.0	100	31	32	19	18	0.891	0	Virus	Medium	100.0	2
53.0	47.0	100	23	24	28	25	0.121	1	Virus	High	100.0	3
48.0	52.0	100	22	30	25	23	0.876	0	Human	Low	100.0	1
54.0	46.0	100	22	24	35	19	0.359	0	Virus	Medium	100.0	2
56.0	44.0	100	20	24	31	25	0.762	0	Human	Medium	100.0	2
47.0	53.0	100	25	28	19	28	0.213	1	Human	Medium	100.0	2
54.0	46.0	100	26	20	31	23	0.186	1	Human	Medium	100.0	2
44.0	56.0	100	26	30	25	19	0.59	0	Bacteria	Low	100.0	1
55.0	45.0	100	21	24	32	23	0.544	0	Plant	Medium	100.0	2
49.0	51.0	100	22	29	17	32	0.392	1	Plant	Low	100.0	1
44.0	56.0	100	27	29	17	27	0.624	0	Virus	Medium	100.0	2
44.0	56.0	100	28	28	22	22	0.819	1	Plant	High	100.0	3
45.0	55.0	100	32	23	22	23	0.267	1	Virus	Low	100.0	1
51.0	49.0	100	27	22	28	23	0.857	1	Bacteria	Medium	100.0	2
50.0	50.0	100	23	27	21	29	0.364	0	Human	Low	100.0	1
49.0	51.0	100	23	28	28	21	0.189	1	Bacteria	High	100.0	3
45.0	55.0	100	25	30	24	21	0.736	1	Bacteria	Low	100.0	1
47.0	53.0	100	23	30	27	20	0.999	0	Virus	Medium	100.0	2
54.0	46.0	100	16	30	29	25	0.362	1	Human	Low	100.0	1
43.0	57.0	100	30	27	20	23	0.465	1	Plant	Medium	100.0	2
48.0	52.0	100	26	26	25	23	0.802	0	Virus	Medium	100.0	2
46.0	54.0	100	28	26	25	21	0.334	0	Plant	High	100.0	3
49.0	51.0	100	30	21	23	26	0.531	1	Virus	High	100.0	3
65.0	35.0	100	24	11	39	26	0.681	1	Plant	Medium	100.0	2
51.0	49.0	100	23	26	21	30	0.497	0	Bacteria	Low	100.0	1
46.0	54.0	100	23	31	26	20	0.856	1	Virus	Medium	100.0	2
45.0	55.0	100	27	28	29	16	0.207	1	Bacteria	Medium	100.0	2
45.0	55.0	100	23	32	21	24	0.465	0	Virus	High	100.0	3
46.0	54.0	100	20	34	27	19	0.466	0	Bacteria	High	100.0	3
45.0	55.0	100	25	30	19	26	0.914	1	Virus	Low	100.0	1
46.0	54.0	100	25	29	20	26	0.18	0	Plant	Medium	100.0	2
56.0	44.0	100	27	17	36	20	0.61	0	Plant	Medium	100.0	2
46.0	54.0	100	27	27	22	24	0.469	0	Plant	High	100.0	3
51.0	49.0	100	20	29	31	20	0.254	0	Plant	Low	100.0	1
42.0	58.0	100	29	29	16	26	0.85	0	Plant	Low	100.0	1
53.0	47.0	100	21	26	27	26	0.181	1	Bacteria	High	100.0	3
48.0	52.0	100	26	26	22	26	0.5	1	Human	Medium	100.0	2
50.0	50.0	100	22	28	20	30	0.566	0	Plant	Medium	100.0	2
49.0	51.0	100	26	25	26	23	0.731	0	Virus	Low	100.0	1
48.0	52.0	100	25	27	23	25	0.172	1	Bacteria	Medium	100.0	2
49.0	51.0	100	29	22	26	23	0.922	0	Bacteria	Medium	100.0	2
56.0	44.0	100	18	26	29	27	0.696	1	Plant	High	100.0	3
51.0	49.0	100	24	25	23	28	0.534	0	Plant	High	100.0	3
59.0	41.0	100	17	24	36	23	0.592	1	Human	High	100.0	3
54.0	46.0	100	25	21	24	30	0.518	1	Plant	High	100.0	3
47.0	53.0	100	24	29	19	28	0.222	0	Virus	Low	100.0	1
43.0	57.0	100	24	33	25	18	0.371	0	Human	Low	100.0	1
49.0	51.0	100	27	24	24	25	0.503	1	Bacteria	Low	100.0	1
52.0	48.0	100	23	25	25	27	0.315	1	Plant	Low	100.0	1
57.0	43.0	100	22	21	27	30	0.854	1	Bacteria	Medium	100.0	2
60.0	40.0	100	19	21	28	32	0.72	0	Plant	High	100.0	3
49.0	51.0	100	25	26	23	26	0.171	0	Human	High	100.0	3
37.0	63.0	100	28	35	19	18	0.765	0	Plant	Low	100.0	1
49.0	51.0	100	25	26	31	18	0.977	0	Plant	High	100.0	3
46.0	54.0	100	25	29	30	16	0.75	1	Human	High	100.0	3
55.0	45.0	100	28	17	35	20	0.899	0	Human	Low	100.0	1
63.0	37.0	100	18	19	29	34	0.208	0	Plant	High	100.0	3
43.0	57.0	100	22	35	21	22	0.883	1	Bacteria	High	100.0	3
52.0	48.0	100	25	23	22	30	0.551	1	Plant	High	100.0	3
53.0	47.0	100	26	21	29	24	0.782	0	Virus	Low	100.0	1
55.0	45.0	100	23	22	29	26	0.375	0	Plant	Medium	100.0	2
52.0	48.0	100	19	29	24	28	0.88	1	Bacteria	Medium	100.0	2
55.0	45.0	100	24	21	26	29	0.569	1	Human	High	100.0	3
51.0	49.0	100	27	22	22	29	0.796	0	Plant	Low	100.0	1
49.0	51.0	100	25	26	25	24	0.188	0	Plant	Low	100.0	1
57.0	43.0	100	23	20	29	28	0.711	1	Human	High	100.0	3
43.0	57.0	100	37	20	19	24	0.826	0	Plant	Low	100.0	1
52.0	48.0	100	28	20	32	20	0.749	1	Human	High	100.0	3
53.0	47.0	100	23	24	25	28	0.924	1	Plant	Medium	100.0	2
44.0	56.0	100	24	32	23	21	0.362	0	Virus	High	100.0	3
63.0	37.0	100	13	24	21	42	0.27	0	Bacteria	Medium	100.0	2
53.0	47.0	100	23	24	27	26	0.307	1	Virus	Medium	100.0	2
36.0	64.0	100	25	39	23	13	0.335	1	Human	High	100.0	3
56.0	44.0	100	19	25	22	34	0.223	0	Human	Low	100.0	1
48.0	52.0	100	31	21	22	26	0.124	1	Human	Low	100.0	1
52.0	48.0	100	26	22	28	24	0.892	1	Human	High	100.0	3
59.0	41.0	100	22	19	23	36	0.464	1	Human	Medium	100.0	2
45.0	55.0	100	30	25	27	18	0.231	0	Human	High	100.0	3
50.0	50.0	100	25	25	30	20	0.962	1	Human	Medium	100.0	2
47.0	53.0	100	24	29	25	22	0.998	0	Virus	High	100.0	3
42.0	58.0	100	27	31	21	21	0.312	0	Bacteria	High	100.0	3
46.0	54.0	100	27	27	29	17	0.274	1	Virus	Low	100.0	1
53.0	47.0	100	27	20	32	21	0.634	1	Virus	High	100.0	3
62.0	38.0	100	17	21	32	30	0.534	1	Plant	Medium	100.0	2
53.0	47.0	100	26	21	29	24	0.332	1	Plant	High	100.0	3
50.0	50.0	100	27	23	20	30	0.683	0	Plant	High	100.0	3
43.0	57.0	100	25	32	25	18	0.391	1	Plant	Medium	100.0	2
45.0	55.0	100	36	19	26	19	0.469	1	Bacteria	Low	100.0	1
53.0	47.0	100	20	27	22	31	0.192	1	Virus	Medium	100.0	2
50.0	50.0	100	24	26	25	25	0.567	1	Bacteria	High	100.0	3
44.0	56.0	100	31	25	18	26	0.687	0	Bacteria	Medium	100.0	2
50.0	50.0	100	19	31	23	27	0.315	0	Virus	Medium	100.0	2
45.0	55.0	100	27	28	20	25	0.238	1	Virus	Low	100.0	1
47.0	53.0	100	23	30	22	25	0.916	1	Virus	Low	100.0	1
49.0	51.0	100	23	28	27	22	0.497	0	Virus	High	100.0	3
54.0	46.0	100	17	29	20	34	0.661	1	Bacteria	Medium	100.0	2
52.0	48.0	100	20	28	26	26	0.255	0	Bacteria	High	100.0	3
47.0	53.0	100	36	17	25	22	0.67	1	Plant	High	100.0	3
